sample,tps
0,0
1,0
2,0
3,0
4,1
5,2
6,2
7,3
8,4
9,4
10,5
11,5
12,5
13,5
14,5
15,5
16,4
17,5
18,5
19,6
20,6
21,7
22,6
23,6
24,7
25,7
26,9
27,10
28,12
29,13
30,15
31,14
32,13
33,13
34,13
35,13
36,11
37,9
38,8
39,9
40,12
41,13
42,13
43,13
44,15
45,17
46,19
47,20
48,20
49,20
50,19
51,18
52,18
53,18
54,18
55,18
56,18
57,18
58,18
59,20
60,20
61,20
62,20
63,17
64,15
65,15
66,15
67,15
68,15
69,15
70,15
71,18
